Feature,clusternum,cluster_name
Cells_AreaShape_Zernike_6_4,632,Cells_AreaShape_Zernike_6_4
Cells_AreaShape_Zernike_6_6,2,Cells_AreaShape_Zernike_6_6
Cells_AreaShape_Zernike_7_1,34,Cells_AreaShape_Zernike_7_1
Cells_AreaShape_Zernike_7_3,830,Cells_AreaShape_Zernike_7_3
Cells_AreaShape_Zernike_7_5,845,Cells_AreaShape_Zernike_7_5
Cells_AreaShape_Zernike_7_7,817,Cells_AreaShape_Zernike_3_3
Cells_AreaShape_Zernike_8_0,824,Cells_AreaShape_Zernike_8_0
Cells_AreaShape_Zernike_8_2,820,Cells_AreaShape_Zernike_8_2
Cells_AreaShape_Zernike_8_4,825,Cells_AreaShape_Zernike_8_4
Cells_AreaShape_Zernike_8_6,630,Cells_AreaShape_Zernike_8_6
Cells_AreaShape_Zernike_8_8,3,Cells_AreaShape_Zernike_8_8
Cells_AreaShape_Zernike_9_1,691,Cells_AreaShape_Zernike_9_1
Cells_AreaShape_Zernike_9_3,832,Cells_AreaShape_Zernike_9_3
Cells_AreaShape_Zernike_9_5,831,Cells_AreaShape_Zernike_9_5
Cells_AreaShape_Zernike_9_7,846,Cells_AreaShape_Zernike_9_7
Cells_AreaShape_Zernike_9_9,815,Cells_AreaShape_Zernike_9_9
Cells_Children_LargeBODIPYObjects_Count,643,Cells_Children_LargeBODIPYObjects_Count
Cells_Children_SmallBODIPYObjects_Count,449,Cells_Children_SmallBODIPYObjects_Count
Cells_Correlation_Correlation_AGP_BODIPYRNA,479,Cells_Correlation_Correlation_AGP_BODIPYRNA
Cells_Correlation_Correlation_AGP_DNA,333,Cells_Correlation_Correlation_AGP_DNA
Cells_Correlation_Correlation_AGP_Mito,541,Cells_Correlation_Correlation_AGP_Mito
Cells_Correlation_Correlation_BODIPYRNA_DNA,258,Cells_Correlation_Correlation_BODIPYRNA_DNA
Cells_Correlation_Correlation_BODIPYRNA_Mito,486,Cells_Correlation_Correlation_BODIPYRNA_Mito
Cells_Correlation_Correlation_DNA_Mito,486,Cells_Correlation_Correlation_BODIPYRNA_Mito
Cells_Correlation_K_AGP_BODIPYRNA,98,Cells_Correlation_K_AGP_BODIPYRNA
Cells_Correlation_K_AGP_DNA,79,Cells_Correlation_K_AGP_DNA
Cells_Correlation_K_AGP_Mito,80,Cells_Correlation_K_AGP_Mito
Cells_Correlation_K_BODIPYRNA_AGP,79,Cells_Correlation_K_AGP_DNA
Cells_Correlation_K_BODIPYRNA_DNA,112,Cells_Correlation_K_BODIPYRNA_DNA
Cells_Correlation_K_BODIPYRNA_Mito,475,Cells_Correlation_K_BODIPYRNA_Mito
Cells_Correlation_K_DNA_AGP,79,Cells_Correlation_K_AGP_DNA
Cells_Correlation_K_DNA_BODIPYRNA,111,Cells_Correlation_K_DNA_BODIPYRNA
Cells_Correlation_K_DNA_Mito,18,Cells_Correlation_K_DNA_Mito
Cells_Correlation_K_Mito_AGP,78,Cells_Correlation_K_Mito_AGP
Cells_Correlation_K_Mito_BODIPYRNA,477,Cells_Correlation_K_Mito_BODIPYRNA
Cells_Correlation_K_Mito_DNA,18,Cells_Correlation_K_DNA_Mito
Cells_Correlation_Overlap_AGP_BODIPYRNA,555,Cells_Correlation_Overlap_AGP_BODIPYRNA
Cells_Correlation_Overlap_AGP_DNA,81,Cells_Correlation_Overlap_AGP_DNA
Cells_Correlation_Overlap_AGP_Mito,172,Cells_Correlation_Overlap_AGP_Mito
Cells_Correlation_Overlap_BODIPYRNA_DNA,241,Cells_Correlation_Overlap_BODIPYRNA_DNA
Cells_Correlation_Overlap_BODIPYRNA_Mito,126,Cells_Correlation_Overlap_BODIPYRNA_Mito
Cells_Correlation_Overlap_DNA_Mito,81,Cells_Correlation_Overlap_AGP_DNA
Cells_Granularity_10_AGP,392,Cells_Granularity_10_AGP
Cells_Granularity_10_BODIPYRNA,428,Cells_Granularity_10_BODIPYRNA
Cells_Granularity_10_DNA,430,Cells_Granularity_10_DNA
Cells_Granularity_10_Mito,563,Cells_Granularity_10_Mito
Cells_Granularity_11_AGP,275,Cells_Granularity_11_AGP
Cells_Granularity_11_BODIPYRNA,701,Cells_Granularity_11_BODIPYRNA
Cells_Granularity_11_DNA,702,Cells_Granularity_11_DNA
Cells_Granularity_11_Mito,381,Cells_Granularity_11_Mito
Cells_Granularity_12_AGP,289,Cells_Granularity_12_AGP
Cells_Granularity_12_BODIPYRNA,393,Cells_Granularity_12_BODIPYRNA
Cells_Granularity_12_DNA,396,Cells_Granularity_12_DNA
Cells_Granularity_12_Mito,337,Cells_Granularity_12_Mito
Cells_Granularity_13_AGP,305,Cells_Granularity_13_AGP
Cells_Granularity_13_BODIPYRNA,679,Cells_Granularity_13_BODIPYRNA
Cells_Granularity_13_DNA,682,Cells_Granularity_13_DNA
Cells_Granularity_13_Mito,558,Cells_Granularity_13_Mito
Cells_Granularity_14_AGP,384,Cells_Granularity_14_AGP
Cells_Granularity_14_BODIPYRNA,344,Cells_Granularity_14_BODIPYRNA
Cells_Granularity_14_DNA,347,Cells_Granularity_14_DNA
Cells_Granularity_14_Mito,425,Cells_Granularity_14_Mito
Cells_Granularity_15_AGP,350,Cells_Granularity_15_AGP
Cells_Granularity_15_BODIPYRNA,176,Cells_Granularity_15_BODIPYRNA
Cells_Granularity_15_DNA,173,Cells_Granularity_15_DNA
Cells_Granularity_15_Mito,686,Cells_Granularity_15_Mito
Cells_Granularity_16_AGP,295,Cells_Granularity_16_AGP
Cells_Granularity_16_BODIPYRNA,746,Cells_Granularity_16_BODIPYRNA
Cells_Granularity_16_DNA,713,Cells_Granularity_16_DNA
Cells_Granularity_16_Mito,389,Cells_Granularity_16_Mito
Cells_Granularity_1_AGP,168,Cells_Granularity_1_AGP
Cells_Granularity_1_BODIPYRNA,169,Cells_Granularity_1_BODIPYRNA
Cells_Granularity_1_DNA,224,Cells_Granularity_1_DNA
Cells_Granularity_1_Mito,169,Cells_Granularity_1_BODIPYRNA
Cells_Granularity_2_AGP,255,Cells_Granularity_2_AGP
Cells_Granularity_2_BODIPYRNA,222,Cells_Granularity_2_BODIPYRNA
Cells_Granularity_2_DNA,220,Cells_Granularity_2_DNA
Cells_Granularity_2_Mito,542,Cells_Granularity_2_Mito
Cells_Granularity_3_AGP,304,Cells_Granularity_3_AGP
Cells_Granularity_3_BODIPYRNA,255,Cells_Granularity_2_AGP
Cells_Granularity_3_DNA,72,Cells_Granularity_3_DNA
Cells_Granularity_3_Mito,482,Cells_Granularity_3_Mito
Cells_Granularity_4_AGP,302,Cells_Granularity_4_AGP
Cells_Granularity_4_BODIPYRNA,483,Cells_Granularity_4_BODIPYRNA
Cells_Granularity_4_DNA,548,Cells_Granularity_4_DNA
Cells_Granularity_4_Mito,162,Cells_Granularity_4_Mito
Cells_Granularity_5_AGP,307,Cells_Granularity_5_AGP
Cells_Granularity_5_BODIPYRNA,140,Cells_Granularity_5_BODIPYRNA
Cells_Granularity_5_DNA,241,Cells_Correlation_Overlap_BODIPYRNA_DNA
Cells_Granularity_5_Mito,140,Cells_Granularity_5_BODIPYRNA
Cells_Granularity_6_AGP,387,Cells_Granularity_6_AGP
Cells_Granularity_6_BODIPYRNA,87,Cells_Granularity_6_BODIPYRNA
Cells_Granularity_6_DNA,253,Cells_Granularity_6_DNA
Cells_Granularity_6_Mito,106,Cells_AreaShape_Area
Cells_Granularity_7_AGP,294,Cells_Granularity_7_AGP
Cells_Granularity_7_BODIPYRNA,86,Cells_Granularity_7_BODIPYRNA
Cells_Granularity_7_DNA,245,Cells_Granularity_7_DNA
Cells_Granularity_7_Mito,667,Cells_Granularity_7_Mito
Cells_Granularity_8_AGP,782,Cells_Granularity_8_AGP
Cells_Granularity_8_BODIPYRNA,647,Cells_Granularity_8_BODIPYRNA
Cells_Granularity_8_DNA,657,Cells_Granularity_8_DNA
Cells_Granularity_8_Mito,666,Cells_Granularity_8_Mito
Cells_Granularity_9_AGP,294,Cells_Granularity_7_AGP
Cells_Granularity_9_BODIPYRNA,367,Cells_Granularity_9_BODIPYRNA
Cells_Granularity_9_DNA,364,Cells_Granularity_9_DNA
Cells_Granularity_9_Mito,711,Cells_Granularity_9_Mito
Cells_Intensity_IntegratedIntensityEdge_AGP,129,Cells_Intensity_IntegratedIntensityEdge_AGP
Cells_Intensity_IntegratedIntensityEdge_BODIPYRNA,756,Cells_Intensity_IntegratedIntensityEdge_BODIPYRNA
Cells_Intensity_IntegratedIntensityEdge_DNA,756,Cells_Intensity_IntegratedIntensityEdge_BODIPYRNA
Cells_Intensity_IntegratedIntensityEdge_Mito,639,Cells_Intensity_IntegratedIntensityEdge_Mito
Cells_Intensity_IntegratedIntensity_AGP,838,Cells_Intensity_IntegratedIntensity_AGP
Cells_Intensity_IntegratedIntensity_BODIPYRNA,254,Cells_Intensity_IntegratedIntensity_BODIPYRNA
Cells_Intensity_IntegratedIntensity_DNA,644,Cells_Intensity_IntegratedIntensity_DNA
Cells_Intensity_IntegratedIntensity_Mito,254,Cells_Intensity_IntegratedIntensity_BODIPYRNA
Cells_Intensity_LowerQuartileIntensity_AGP,129,Cells_Intensity_IntegratedIntensityEdge_AGP
Cells_Intensity_LowerQuartileIntensity_BODIPYRNA,772,Cells_Intensity_LowerQuartileIntensity_BODIPYRNA
Cells_Intensity_LowerQuartileIntensity_DNA,754,Cells_Intensity_LowerQuartileIntensity_DNA
Cells_Intensity_LowerQuartileIntensity_Mito,769,Cells_Intensity_LowerQuartileIntensity_Mito
Cells_Intensity_MADIntensity_AGP,101,Cells_Intensity_MADIntensity_AGP
Cells_Intensity_MADIntensity_BODIPYRNA,445,Cells_Intensity_MADIntensity_BODIPYRNA
Cells_Intensity_MADIntensity_DNA,771,Cells_Intensity_MADIntensity_DNA
Cells_Intensity_MADIntensity_Mito,153,Cells_Intensity_MADIntensity_Mito
Cells_Intensity_MassDisplacement_AGP,170,Cells_Intensity_MassDisplacement_AGP
Cells_Intensity_MassDisplacement_BODIPYRNA,138,Cells_Intensity_MassDisplacement_BODIPYRNA
Cells_Intensity_MassDisplacement_DNA,164,Cells_Intensity_MassDisplacement_DNA
Cells_Intensity_MassDisplacement_Mito,138,Cells_Intensity_MassDisplacement_BODIPYRNA
Cells_Intensity_MaxIntensityEdge_AGP,77,Cells_Intensity_MaxIntensityEdge_AGP
Cells_Intensity_MaxIntensityEdge_BODIPYRNA,789,Cells_Intensity_MaxIntensityEdge_BODIPYRNA
Cells_Intensity_MaxIntensityEdge_DNA,26,Cells_Intensity_MaxIntensityEdge_DNA
Cells_Intensity_MaxIntensityEdge_Mito,622,Cells_Intensity_MaxIntensityEdge_Mito
Cells_Intensity_MaxIntensity_AGP,99,Cells_Intensity_MaxIntensity_AGP
Cells_Intensity_MaxIntensity_BODIPYRNA,459,Cells_Intensity_MaxIntensity_BODIPYRNA
Cells_Intensity_MaxIntensity_DNA,44,Cells_Intensity_MaxIntensity_DNA
Cells_Intensity_MaxIntensity_Mito,627,Cells_Intensity_MaxIntensity_Mito
Cells_Intensity_MeanIntensityEdge_AGP,129,Cells_Intensity_IntegratedIntensityEdge_AGP
Cells_Intensity_MeanIntensityEdge_BODIPYRNA,772,Cells_Intensity_LowerQuartileIntensity_BODIPYRNA
Cells_Intensity_MeanIntensityEdge_DNA,772,Cells_Intensity_LowerQuartileIntensity_BODIPYRNA
Cells_Intensity_MeanIntensityEdge_Mito,769,Cells_Intensity_LowerQuartileIntensity_Mito
Cells_Intensity_MeanIntensity_AGP,77,Cells_Intensity_MaxIntensityEdge_AGP
Cells_Intensity_MeanIntensity_BODIPYRNA,793,Cells_Intensity_MeanIntensity_BODIPYRNA
Cells_Intensity_MeanIntensity_DNA,26,Cells_Intensity_MaxIntensityEdge_DNA
Cells_Intensity_MeanIntensity_Mito,785,Cells_Intensity_MeanIntensity_Mito
Cells_Intensity_MedianIntensity_AGP,129,Cells_Intensity_IntegratedIntensityEdge_AGP
Cells_Intensity_MedianIntensity_BODIPYRNA,773,Cells_Intensity_MedianIntensity_BODIPYRNA
Cells_Intensity_MedianIntensity_DNA,754,Cells_Intensity_LowerQuartileIntensity_DNA
Cells_Intensity_MedianIntensity_Mito,785,Cells_Intensity_MeanIntensity_Mito
Cells_Intensity_MinIntensityEdge_AGP,129,Cells_Intensity_IntegratedIntensityEdge_AGP
Cells_Intensity_MinIntensityEdge_BODIPYRNA,169,Cells_Granularity_1_BODIPYRNA
Cells_Intensity_MinIntensityEdge_DNA,533,Cells_Intensity_MinIntensityEdge_DNA
Cells_Intensity_MinIntensityEdge_Mito,169,Cells_Granularity_1_BODIPYRNA
Cells_Intensity_MinIntensity_AGP,129,Cells_Intensity_IntegratedIntensityEdge_AGP
Cells_Intensity_MinIntensity_BODIPYRNA,169,Cells_Granularity_1_BODIPYRNA
Cells_Intensity_MinIntensity_DNA,533,Cells_Intensity_MinIntensityEdge_DNA
Cells_Intensity_MinIntensity_Mito,169,Cells_Granularity_1_BODIPYRNA
Cells_Intensity_StdIntensityEdge_AGP,77,Cells_Intensity_MaxIntensityEdge_AGP
Cells_Intensity_StdIntensityEdge_BODIPYRNA,474,Cells_Intensity_StdIntensityEdge_BODIPYRNA
Cells_Intensity_StdIntensityEdge_DNA,25,Cells_Intensity_StdIntensityEdge_DNA
Cells_Intensity_StdIntensityEdge_Mito,155,Cells_Intensity_StdIntensityEdge_Mito
Cells_Intensity_StdIntensity_AGP,100,Cells_Intensity_StdIntensity_AGP
Cells_Intensity_StdIntensity_BODIPYRNA,436,Cells_Intensity_StdIntensity_BODIPYRNA
Cells_Intensity_StdIntensity_DNA,56,Cells_Intensity_StdIntensity_DNA
Cells_Intensity_StdIntensity_Mito,153,Cells_Intensity_MADIntensity_Mito
Cells_Intensity_UpperQuartileIntensity_AGP,77,Cells_Intensity_MaxIntensityEdge_AGP
Cells_Intensity_UpperQuartileIntensity_BODIPYRNA,793,Cells_Intensity_MeanIntensity_BODIPYRNA
Cells_Intensity_UpperQuartileIntensity_DNA,25,Cells_Intensity_StdIntensityEdge_DNA
Cells_Intensity_UpperQuartileIntensity_Mito,784,Cells_Intensity_UpperQuartileIntensity_Mito
Cells_Mean_LargeBODIPYObjects_AreaShape_Area,132,Cells_Mean_LargeBODIPYObjects_AreaShape_Area
Cells_Mean_LargeBODIPYObjects_AreaShape_Compactness,71,Cells_Mean_LargeBODIPYObjects_AreaShape_Compactness
Cells_Mean_LargeBODIPYObjects_AreaShape_ConvexArea,132,Cells_Mean_LargeBODIPYObjects_AreaShape_Area
Cells_Mean_LargeBODIPYObjects_AreaShape_Eccentricity,243,Cells_Mean_LargeBODIPYObjects_AreaShape_Eccentricity
Cells_Mean_LargeBODIPYObjects_AreaShape_EquivalentDiameter,132,Cells_Mean_LargeBODIPYObjects_AreaShape_Area
Cells_Mean_LargeBODIPYObjects_AreaShape_Extent,243,Cells_Mean_LargeBODIPYObjects_AreaShape_Eccentricity
Cells_Mean_LargeBODIPYObjects_AreaShape_FormFactor,71,Cells_Mean_LargeBODIPYObjects_AreaShape_Compactness
Cells_Mean_LargeBODIPYObjects_AreaShape_MajorAxisLength,71,Cells_Mean_LargeBODIPYObjects_AreaShape_Compactness
Cells_Mean_LargeBODIPYObjects_AreaShape_MaxFeretDiameter,71,Cells_Mean_LargeBODIPYObjects_AreaShape_Compactness
Cells_Mean_LargeBODIPYObjects_AreaShape_MaximumRadius,534,Cells_Mean_LargeBODIPYObjects_AreaShape_MaximumRadius
Cells_Mean_LargeBODIPYObjects_AreaShape_MeanRadius,531,Cells_Mean_LargeBODIPYObjects_AreaShape_MeanRadius
Cells_Mean_LargeBODIPYObjects_AreaShape_MinFeretDiameter,532,Cells_Mean_LargeBODIPYObjects_AreaShape_MinFeretDiameter
Cells_Mean_LargeBODIPYObjects_AreaShape_MinorAxisLength,531,Cells_Mean_LargeBODIPYObjects_AreaShape_MeanRadius
Cells_Mean_LargeBODIPYObjects_AreaShape_Orientation,723,Cells_Mean_LargeBODIPYObjects_AreaShape_Orientation
Cells_Mean_LargeBODIPYObjects_AreaShape_Perimeter,132,Cells_Mean_LargeBODIPYObjects_AreaShape_Area
Cells_Mean_LargeBODIPYObjects_AreaShape_Solidity,243,Cells_Mean_LargeBODIPYObjects_AreaShape_Eccentricity
Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_0_0,243,Cells_Mean_LargeBODIPYObjects_AreaShape_Eccentricity
Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_1_1,599,Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_1_1
Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_2_0,244,Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_2_0
Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_2_2,267,Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_2_2
Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_3_1,685,Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_3_1
Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_3_3,598,Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_3_3
Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_4_0,580,Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_4_0
Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_4_2,593,Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_4_2
Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_4_4,557,Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_4_4
Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_5_1,587,Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_5_1
Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_5_3,586,Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_5_3
Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_5_5,585,Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_5_5
Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_6_0,595,Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_6_0
Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_6_2,577,Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_6_2
Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_6_4,594,Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_6_4
Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_6_6,579,Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_6_6
Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_7_1,590,Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_7_1
Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_7_3,591,Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_7_3
Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_7_5,588,Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_7_5
Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_7_7,583,Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_7_7
Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_8_0,594,Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_6_4
Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_8_2,577,Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_6_2
Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_8_4,596,Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_8_4
Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_8_6,578,Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_8_6
Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_8_8,597,Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_8_8
Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_9_1,581,Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_9_1
Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_9_3,589,Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_9_3
Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_9_5,592,Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_9_5
Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_9_7,582,Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_9_7
Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_9_9,584,Cells_Mean_LargeBODIPYObjects_AreaShape_Zernike_9_9
Cells_Mean_LargeBODIPYObjects_Correlation_Correlation_AGP_BODIPYRNA,114,Cells_Mean_LargeBODIPYObjects_Correlation_Correlation_AGP_BODIPYRNA
Cells_Mean_LargeBODIPYObjects_Correlation_Correlation_AGP_DNA,758,Cells_Mean_LargeBODIPYObjects_Correlation_Correlation_AGP_DNA
Cells_Mean_LargeBODIPYObjects_Correlation_Correlation_AGP_Mito,262,Cells_Mean_LargeBODIPYObjects_Correlation_Correlation_AGP_Mito
Cells_Mean_LargeBODIPYObjects_Correlation_Correlation_BODIPYRNA_DNA,68,Cells_Mean_LargeBODIPYObjects_Correlation_Correlation_BODIPYRNA_DNA
Cells_Mean_LargeBODIPYObjects_Correlation_Correlation_BODIPYRNA_Mito,115,Cells_Mean_LargeBODIPYObjects_Correlation_Correlation_BODIPYRNA_Mito
Cells_Mean_LargeBODIPYObjects_Correlation_Correlation_DNA_Mito,780,Cells_Mean_LargeBODIPYObjects_Correlation_Correlation_DNA_Mito
Cells_Mean_LargeBODIPYObjects_Correlation_K_AGP_BODIPYRNA,837,Cells_Mean_LargeBODIPYObjects_Correlation_K_AGP_BODIPYRNA
Cells_Mean_LargeBODIPYObjects_Correlation_K_AGP_DNA,81,Cells_Correlation_Overlap_AGP_DNA
Cells_Mean_LargeBODIPYObjects_Correlation_K_AGP_Mito,80,Cells_Correlation_K_AGP_Mito
Cells_Mean_LargeBODIPYObjects_Correlation_K_BODIPYRNA_AGP,837,Cells_Mean_LargeBODIPYObjects_Correlation_K_AGP_BODIPYRNA
Cells_Mean_LargeBODIPYObjects_Correlation_K_BODIPYRNA_DNA,284,Cells_Mean_LargeBODIPYObjects_Correlation_K_BODIPYRNA_DNA
Cells_Mean_LargeBODIPYObjects_Correlation_K_BODIPYRNA_Mito,113,Cells_Mean_LargeBODIPYObjects_Correlation_K_BODIPYRNA_Mito
Cells_Mean_LargeBODIPYObjects_Correlation_K_DNA_AGP,81,Cells_Correlation_Overlap_AGP_DNA
Cells_Mean_LargeBODIPYObjects_Correlation_K_DNA_BODIPYRNA,285,Cells_Mean_LargeBODIPYObjects_Correlation_K_DNA_BODIPYRNA
Cells_Mean_LargeBODIPYObjects_Correlation_K_DNA_Mito,286,Cells_Mean_LargeBODIPYObjects_Correlation_K_DNA_Mito
Cells_Mean_LargeBODIPYObjects_Correlation_K_Mito_AGP,78,Cells_Correlation_K_Mito_AGP
Cells_Mean_LargeBODIPYObjects_Correlation_K_Mito_BODIPYRNA,113,Cells_Mean_LargeBODIPYObjects_Correlation_K_BODIPYRNA_Mito
Cells_Mean_LargeBODIPYObjects_Correlation_K_Mito_DNA,286,Cells_Mean_LargeBODIPYObjects_Correlation_K_DNA_Mito
Cells_Mean_LargeBODIPYObjects_Correlation_Overlap_AGP_BODIPYRNA,284,Cells_Mean_LargeBODIPYObjects_Correlation_K_BODIPYRNA_DNA
Cells_Mean_LargeBODIPYObjects_Correlation_Overlap_AGP_DNA,212,Cells_Mean_LargeBODIPYObjects_Correlation_Overlap_AGP_DNA
Cells_Mean_LargeBODIPYObjects_Correlation_Overlap_AGP_Mito,759,Cells_Mean_LargeBODIPYObjects_Correlation_Overlap_AGP_Mito
Cells_Mean_LargeBODIPYObjects_Correlation_Overlap_BODIPYRNA_DNA,284,Cells_Mean_LargeBODIPYObjects_Correlation_K_BODIPYRNA_DNA
Cells_Mean_LargeBODIPYObjects_Correlation_Overlap_BODIPYRNA_Mito,282,Cells_Mean_LargeBODIPYObjects_Correlation_Overlap_BODIPYRNA_Mito
Cells_Mean_LargeBODIPYObjects_Correlation_Overlap_DNA_Mito,225,Cells_Mean_LargeBODIPYObjects_Correlation_Overlap_DNA_Mito
Cells_Mean_LargeBODIPYObjects_Granularity_10_AGP,297,Cells_Mean_LargeBODIPYObjects_Granularity_10_AGP
Cells_Mean_LargeBODIPYObjects_Granularity_10_BODIPYRNA,692,Cells_Mean_LargeBODIPYObjects_Granularity_10_BODIPYRNA
Cells_Mean_LargeBODIPYObjects_Granularity_10_DNA,698,Cells_Mean_LargeBODIPYObjects_Granularity_10_DNA
Cells_Mean_LargeBODIPYObjects_Granularity_10_Mito,567,Cells_Mean_LargeBODIPYObjects_Granularity_10_Mito
Cells_Mean_LargeBODIPYObjects_Granularity_11_AGP,276,Cells_Mean_LargeBODIPYObjects_Granularity_11_AGP
Cells_Mean_LargeBODIPYObjects_Granularity_11_BODIPYRNA,693,Cells_Mean_LargeBODIPYObjects_Granularity_11_BODIPYRNA
Cells_Mean_LargeBODIPYObjects_Granularity_11_DNA,694,Cells_Mean_LargeBODIPYObjects_Granularity_11_DNA
Cells_Mean_LargeBODIPYObjects_Granularity_11_Mito,382,Cells_Mean_LargeBODIPYObjects_Granularity_11_Mito
Cells_Mean_LargeBODIPYObjects_Granularity_12_AGP,290,Cells_Mean_LargeBODIPYObjects_Granularity_12_AGP
